LCLid,tstp,energy(kWh/hh)
MAC000142,2013-01-01 00:00:00, 1.285 
MAC000142,2013-01-01 00:30:00, 1.188 
MAC000142,2013-01-01 01:00:00, 1.038 
MAC000142,2013-01-01 01:30:00, 1.176 
MAC000142,2013-01-01 02:00:00, 0.896 
MAC000142,2013-01-01 02:30:00, 0.875 
MAC000142,2013-01-01 03:00:00, 0.581 
MAC000142,2013-01-01 03:30:00, 0.639 
MAC000142,2013-01-01 04:00:00, 0.562 
MAC000142,2013-01-01 04:30:00, 0.545 
MAC000142,2013-01-01 05:00:00, 0.644 
MAC000142,2013-01-01 05:30:00, 0.622 
MAC000142,2013-01-01 06:00:00, 0.542 
MAC000142,2013-01-01 06:30:00, 0.569 
MAC000142,2013-01-01 07:00:00, 0.604 
MAC000142,2013-01-01 07:30:00, 0.625 
MAC000142,2013-01-01 08:00:00, 0.548 
MAC000142,2013-01-01 08:30:00, 0.676 
MAC000142,2013-01-01 09:00:00, 0.623 
MAC000142,2013-01-01 09:30:00, 0.583 
MAC000142,2013-01-01 10:00:00, 0.734 
MAC000142,2013-01-01 10:30:00, 0.647 
MAC000142,2013-01-01 11:00:00, 1.594 
MAC000142,2013-01-01 11:30:00, 1.183 
MAC000142,2013-01-01 12:00:00, 0.901 
MAC000142,2013-01-01 12:30:00, 1.092 
MAC000142,2013-01-01 13:00:00, 1.1210001 
MAC000142,2013-01-01 13:30:00, 3.6359999 
MAC000142,2013-01-01 14:00:00, 1.096 
MAC000142,2013-01-01 14:30:00, 1.413 
MAC000142,2013-01-01 15:00:00, 1.7460001 
MAC000142,2013-01-01 15:30:00, 1.081 
MAC000142,2013-01-01 16:00:00, 1.025 
MAC000142,2013-01-01 16:30:00, 1.077 
MAC000142,2013-01-01 17:00:00, 1.131 
MAC000142,2013-01-01 17:30:00, 1.671 
MAC000142,2013-01-01 18:00:00, 1.48 
MAC000142,2013-01-01 18:30:00, 1.098 
MAC000142,2013-01-01 19:00:00, 1.0930001 
MAC000142,2013-01-01 19:30:00, 1.153 
MAC000142,2013-01-01 20:00:00, 1.191 
MAC000142,2013-01-01 20:30:00, 1.1390001 
MAC000142,2013-01-01 21:00:00, 1.224 
MAC000142,2013-01-01 21:30:00, 1.23 
MAC000142,2013-01-01 22:00:00, 1.2180001 
MAC000142,2013-01-01 22:30:00, 1.277 
MAC000142,2013-01-01 23:00:00, 1.396 
MAC000142,2013-01-01 23:30:00, 1.171 
MAC000142,2013-01-02 00:00:00, 0.921 
MAC000142,2013-01-02 00:30:00, 0.917 
MAC000142,2013-01-02 01:00:00, 0.777 
MAC000142,2013-01-02 01:30:00, 0.735 
MAC000142,2013-01-02 02:00:00, 0.685 
MAC000142,2013-01-02 02:30:00, 0.744 
MAC000142,2013-01-02 03:00:00, 0.799 
MAC000142,2013-01-02 03:30:00, 0.731 
MAC000142,2013-01-02 04:00:00, 0.763 
MAC000142,2013-01-02 04:30:00, 0.742 
MAC000142,2013-01-02 05:00:00, 0.58 
MAC000142,2013-01-02 05:30:00, 0.546 
MAC000142,2013-01-02 06:00:00, 0.534 
MAC000142,2013-01-02 06:30:00, 0.597 
MAC000142,2013-01-02 07:00:00, 0.588 
MAC000142,2013-01-02 07:30:00, 0.526 
MAC000142,2013-01-02 08:00:00, 0.556 
MAC000142,2013-01-02 08:30:00, 0.561 
MAC000142,2013-01-02 09:00:00, 0.705 
MAC000142,2013-01-02 09:30:00, 0.575 
MAC000142,2013-01-02 10:00:00, 0.706 
MAC000142,2013-01-02 10:30:00, 0.948 
MAC000142,2013-01-02 11:00:00, 0.751 
MAC000142,2013-01-02 11:30:00, 0.647 
MAC000142,2013-01-02 12:00:00, 0.635 
MAC000142,2013-01-02 12:30:00, 0.969 
MAC000142,2013-01-02 13:00:00, 1.4450001 
MAC000142,2013-01-02 13:30:00, 0.778 
MAC000142,2013-01-02 14:00:00, 0.775 
MAC000142,2013-01-02 14:30:00, 1.596 
MAC000142,2013-01-02 15:00:00, 0.814 
MAC000142,2013-01-02 15:30:00, 0.96 
MAC000142,2013-01-02 16:00:00, 3.0469999 
MAC000142,2013-01-02 16:30:00, 1.329 
MAC000142,2013-01-02 17:00:00, 1.876 
MAC000142,2013-01-02 17:30:00, 1.364 
MAC000142,2013-01-02 18:00:00, 0.947 
MAC000142,2013-01-02 18:30:00, 0.935 
MAC000142,2013-01-02 19:00:00, 0.998 
MAC000142,2013-01-02 19:30:00, 0.903 
MAC000142,2013-01-02 20:00:00, 0.884 
MAC000142,2013-01-02 20:30:00, 1.0089999 
MAC000142,2013-01-02 21:00:00, 1.08 
MAC000142,2013-01-02 21:30:00, 1.095 
MAC000142,2013-01-02 22:00:00, 0.924 
MAC000142,2013-01-02 22:30:00, 0.819 
MAC000142,2013-01-02 23:00:00, 0.838 
MAC000142,2013-01-02 23:30:00, 1.239 
MAC000142,2013-01-03 00:00:00, 1.2079999 
MAC000142,2013-01-03 00:30:00, 0.927 
MAC000142,2013-01-03 01:00:00, 0.718 
MAC000142,2013-01-03 01:30:00, 0.635 
MAC000142,2013-01-03 02:00:00, 0.636 
MAC000142,2013-01-03 02:30:00, 0.569 
MAC000142,2013-01-03 03:00:00, 0.534 
MAC000142,2013-01-03 03:30:00, 0.604 
MAC000142,2013-01-03 04:00:00, 0.418 
MAC000142,2013-01-03 04:30:00, 0.347 
MAC000142,2013-01-03 05:00:00, 0.291 
